Word,Colour,Stim_condition,Correct_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,text_2.started,text_2.stopped,Instructions.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thanks.started,text_3.started,text_3.stopped,Thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.01110679199337028,0.02796054200734943,1.0335694999957923,0.9834299170179293,,,,,,,,,,,,,,,3,001,2025-08-26_13h02.26.453,untitled,,2025.1.1,None,2025-08-26 13h02.39.407196 +0530,
BLUE,blue,C,b,0,0,0,b,1,0.9320397909905296,None,0,0,0,3,1.0335694999957923,,,,,,1.005527917004656,1.0335694999957923,1.488072292006109,1.488072292006109,1.488072292006109,2.691122791991802,b,1,0.9320397909905296,None,,,,,3,001,2025-08-26_13h02.26.453,untitled,,2025.1.1,None,2025-08-26 13h02.39.407196 +0530,
RED,blue,I,b,1,1,0,b,1,0.8348337079805788,None,0,1,1,1,2.7114074169949163,,,,,,2.6938335839950014,2.7114074169949163,3.195284250017721,3.195284250017721,3.195284250017721,4.033820042008301,b,1,0.8348337079805788,None,,,,,3,001,2025-08-26_13h02.26.453,untitled,,2025.1.1,None,2025-08-26 13h02.39.407196 +0530,
BLUE,red,I,r,2,2,0,r,1,1.1048306669981685,None,0,2,2,2,4.051518666994525,,,,,,4.035658625012729,4.051518666994525,4.523273124999832,4.523273124999832,4.523273124999832,5.633867833996192,r,1,1.1048306669981685,None,,,,,3,001,2025-08-26_13h02.26.453,untitled,,2025.1.1,None,2025-08-26 13h02.39.407196 +0530,
RED,red,C,r,3,3,0,r,1,0.5249437500024214,None,0,3,3,0,5.643431375006912,,,,,,5.635775167000247,5.643431375006912,6.133078792016022,6.133078792016022,6.133078792016022,6.667108666995773,r,1,0.5249437500024214,None,,,,,3,001,2025-08-26_13h02.26.453,untitled,,2025.1.1,None,2025-08-26 13h02.39.407196 +0530,
BLUE,blue,C,b,4,0,1,r,0,0.2802457909856457,None,1,0,4,3,6.676378042000579,,,,,,6.6694034170068335,6.676378042000579,7.157731334009441,7.157731334009441,7.157731334009441,7.439018959004898,r,0,0.2802457909856457,None,,,,,3,001,2025-08-26_13h02.26.453,untitled,,2025.1.1,None,2025-08-26 13h02.39.407196 +0530,
RED,red,C,r,5,1,1,r,1,0.44091062402003445,None,1,1,5,0,7.450978709006449,,,,,,7.441098209004849,7.450978709006449,7.939201792003587,7.939201792003587,7.939201792003587,8.384208458999638,r,1,0.44091062402003445,None,,,,,3,001,2025-08-26_13h02.26.453,untitled,,2025.1.1,None,2025-08-26 13h02.39.407196 +0530,
RED,blue,I,b,6,2,1,b,1,0.28103166597429663,None,1,2,6,1,8.393028791993856,,,,,,8.384631042019464,8.393028791993856,8.882952917017974,8.882952917017974,8.882952917017974,9.166694042010931,b,1,0.28103166597429663,None,,,,,3,001,2025-08-26_13h02.26.453,untitled,,2025.1.1,None,2025-08-26 13h02.39.407196 +0530,
BLUE,red,I,r,7,3,1,r,1,0.499437874997966,None,1,3,7,2,9.175013000000035,,,,,,9.168605459009996,9.175013000000035,9.656676042010076,9.656676042010076,9.656676042010076,10.167187334009213,r,1,0.499437874997966,None,,,,,3,001,2025-08-26_13h02.26.453,untitled,,2025.1.1,None,2025-08-26 13h02.39.407196 +0530,
BLUE,red,I,r,8,0,2,r,1,0.484000249998644,None,2,0,8,2,10.17412941699149,,,,,,10.167614584002877,10.17412941699149,10.656098542007385,10.656098542007385,10.656098542007385,11.151721250003902,r,1,0.484000249998644,None,,,,,3,001,2025-08-26_13h02.26.453,untitled,,2025.1.1,None,2025-08-26 13h02.39.407196 +0530,
RED,blue,I,b,9,1,2,b,1,0.36999420798383653,None,2,1,9,1,11.160360042005777,,,,,,11.153798834013287,11.160360042005777,11.650088958995184,11.650088958995184,11.650088958995184,12.023961625003722,b,1,0.36999420798383653,None,,,,,3,001,2025-08-26_13h02.26.453,untitled,,2025.1.1,None,2025-08-26 13h02.39.407196 +0530,
RED,red,C,r,10,2,2,r,1,0.5264448750240263,None,2,2,10,0,12.032743459014455,,,,,,12.024431583995465,12.032743459014455,12.523609458992723,12.523609458992723,12.523609458992723,13.050962375011295,r,1,0.5264448750240263,None,,,,,3,001,2025-08-26_13h02.26.453,untitled,,2025.1.1,None,2025-08-26 13h02.39.407196 +0530,
BLUE,blue,C,b,11,3,2,b,1,0.37985674999072216,None,2,3,11,3,13.060340916999849,,,,,,13.052999709005235,13.060340916999849,13.550173875002656,13.550173875002656,13.550173875002656,13.93381375001627,b,1,0.37985674999072216,None,,,,,3,001,2025-08-26_13h02.26.453,untitled,,2025.1.1,None,2025-08-26 13h02.39.407196 +0530,
