prime_type,prime,target_full,target_fragment,SOA,correct_response,delay,thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,textbox.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,mouse.started,prime_text.started,submit_text.started,textbox.started,polygon.stopped,fragment_text.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,trials.textbox.text,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
unrelated ,media,hair,h__r,0.1,hair,0.6,0,0,0,[np.float64(-0.043333333333333335)],[np.float64(-0.40444444444444444)],[1],[0],[0],[29.12782670906745],['submit_text'],hacker,0,0,0,75,0.054177625104784966,,0.04232400003820658,0.054177625104784966,0.04233249998651445,0.5078863750677556,0.5078863750677556,0.5078863750677556,0.5564536671154201,0.5983132501132786,29.170360249932855,[np.float64(-0.043333333333333335)],[np.float64(-0.40444444444444444)],[1],[0],[0],[29.12782670906745],['submit_text'],hacker,P3,001,2025-11-14_16h19.33.988,untitled,,2025.1.1,118.97337829754264,2025-11-14 16h19.44.050104 +0530,
related ,artist,paint,p__nt,0.4,paint,0.9,1,1,0,[np.float64(-0.07)],[np.float64(-0.38666666666666666)],[1],[0],[0],[5.095758500043303],['submit_text'],paint,0,1,1,13,29.182902958011255,,29.17703695804812,29.182902958011255,0.006495042005553842,29.667495291912928,29.667495291912928,29.667495291912928,29.67950995801948,30.07959512504749,34.27301637502387,[np.float64(-0.07)],[np.float64(-0.38666666666666666)],[1],[0],[0],[5.095758500043303],['submit_text'],paint,P3,001,2025-11-14_16h19.33.988,untitled,,2025.1.1,118.97337829754264,2025-11-14 16h19.44.050104 +0530,
related ,library ,books ,b__k_,0.4,books ,0.9,2,2,0,[np.float64(-0.0077777777777777776)],[np.float64(-0.3977777777777778)],[1],[0],[0],[5.72635787515901],['submit_text'],books,0,2,2,1,34.28373341704719,,34.27866733307019,34.28373341704719,0.005523958010599017,34.77994649996981,34.77994649996981,34.77994649996981,34.79261016706005,35.17930270801298,40.00525754201226,[np.float64(-0.0077777777777777776)],[np.float64(-0.3977777777777778)],[1],[0],[0],[5.72635787515901],['submit_text'],books,P3,001,2025-11-14_16h19.33.988,untitled,,2025.1.1,118.97337829754264,2025-11-14 16h19.44.050104 +0530,
related ,shopping,shop,s__p,0.1,shop,0.6,3,3,0,[np.float64(-0.035555555555555556)],[np.float64(-0.4033333333333333)],[1],[0],[0],[14.041046750033274],['submit_text'],shop,0,3,3,32,40.0151011669077,,40.009484332986176,40.0151011669077,0.004107416840270162,40.512283333111554,40.512283333111554,40.512283333111554,40.52487924997695,40.5984806669876,54.0507398750633,[np.float64(-0.035555555555555556)],[np.float64(-0.4033333333333333)],[1],[0],[0],[14.041046750033274],['submit_text'],shop,P3,001,2025-11-14_16h19.33.988,untitled,,2025.1.1,118.97337829754264,2025-11-14 16h19.44.050104 +0530,
unrelated ,calculator,lyrics,l_r_c_,0.4,lyrics,0.9,4,4,0,[np.float64(0.0077777777777777776)],[np.float64(-0.4211111111111111)],[1],[0],[0],[15.412749334005639],['submit_text'],lycra,0,4,4,80,54.063166707986966,,54.05552529194392,54.063166707986966,0.004662291146814823,54.55216058297083,54.55216058297083,54.55216058297083,54.5640746250283,54.94894375000149,69.46856925007887,[np.float64(0.0077777777777777776)],[np.float64(-0.4211111111111111)],[1],[0],[0],[15.412749334005639],['submit_text'],lycra,P3,001,2025-11-14_16h19.33.988,untitled,,2025.1.1,118.97337829754264,2025-11-14 16h19.44.050104 +0530,
unrelated ,candle,drum,d__m,0.4,drum,0.9,5,5,0,[np.float64(0.0022222222222222222)],[np.float64(-0.4011111111111111)],[0],[0],[0],[8.993126042187214],['submit_text'],doom,0,5,5,74,69.47967233299278,,69.47366304206662,69.47967233299278,0.004955291049554944,69.96965779201128,69.96965779201128,69.96965779201128,69.98279145802371,70.37259337492287,78.4670793749392,[np.float64(0.0022222222222222222)],[np.float64(-0.4011111111111111)],[0],[0],[0],[8.993126042187214],['submit_text'],doom,P3,001,2025-11-14_16h19.33.988,untitled,,2025.1.1,118.97337829754264,2025-11-14 16h19.44.050104 +0530,
related ,journey,travel,t_a__l,0.1,travel,0.6,6,6,0,[np.float64(-0.0011111111111111111)],[np.float64(-0.4266666666666667)],[1],[0],[0],[7.766317999921739],['submit_text'],travel,0,6,6,52,78.4806721250061,,78.47466241708025,78.4806721250061,0.007408374920487404,78.97164037497714,78.97164037497714,78.97164037497714,78.98396729212254,79.06355387507938,86.24129758309573,[np.float64(-0.0011111111111111111)],[np.float64(-0.4266666666666667)],[1],[0],[0],[7.766317999921739],['submit_text'],travel,P3,001,2025-11-14_16h19.33.988,untitled,,2025.1.1,118.97337829754264,2025-11-14 16h19.44.050104 +0530,
unrelated ,paper,rock,r__k,0.4,rock,0.9,7,7,0,[np.float64(0.0011111111111111111)],[np.float64(-0.4088888888888889)],[1],[0],[0],[10.179306040983647],['submit_text'],reek,0,7,7,72,86.25076595810242,,86.24555750004947,86.25076595810242,0.004135583993047476,86.74843545793556,86.74843545793556,86.74843545793556,86.7607184171211,87.13841175008565,96.42519104201347,[np.float64(0.0011111111111111111)],[np.float64(-0.4088888888888889)],[1],[0],[0],[10.179306040983647],['submit_text'],reek,P3,001,2025-11-14_16h19.33.988,untitled,,2025.1.1,118.97337829754264,2025-11-14 16h19.44.050104 +0530,
related ,evening ,sunset,s_n_e_,0.4,sunset,0.9,8,8,0,[np.float64(0.0011111111111111111)],[np.float64(-0.4088888888888889)],[0],[0],[0],[8.402689541922882],['submit_text'],sunset,0,8,8,33,96.43711016699672,,96.43141358299181,96.43711016699672,0.006060667103156447,96.96487241704017,96.96487241704017,96.96487241704017,96.96487241704017,97.3234250000678,104.83443100005388,[np.float64(0.0011111111111111111)],[np.float64(-0.4088888888888889)],[0],[0],[0],[8.402689541922882],['submit_text'],sunset,P3,001,2025-11-14_16h19.33.988,untitled,,2025.1.1,118.97337829754264,2025-11-14 16h19.44.050104 +0530,
related ,date,day,d_y,0.1,day,0.6,9,9,0,[np.float64(0.0011111111111111111)],[np.float64(-0.4088888888888889)],[1],[0],[0],[4.934074082877487],['submit_text'],day,0,9,9,56,104.8474722080864,,104.83976695802994,104.8474722080864,0.0051630830857902765,105.34726170799695,105.34726170799695,105.34726170799695,105.34726170799695,105.43397179199383,109.77413483290002,[np.float64(0.0011111111111111111)],[np.float64(-0.4088888888888889)],[1],[0],[0],[4.934074082877487],['submit_text'],day,P3,001,2025-11-14_16h19.33.988,untitled,,2025.1.1,118.97337829754264,2025-11-14 16h19.44.050104 +0530,
