study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
book,0,0,0,1.2222222222222223,2.5944575830362737,,,,,,,,,,,,0,0,0,0,,,,,0.035912458901293576,,0.019098374992609024,0.035912458901293576,0.035912458901293576,2.6252241249894723,1.2222222222222223,2.5944575830362737,,,,,,,,,,,,,,,p1,001,2025-10-13_12h38.52.420,Word priming experiment,,2025.1.1,119.53381717938824,2025-10-13 12h38.59.135985 +0530,
T-shirt ,1,1,0,1.2177777777777778,1.605183375068009,,,,,,,,,,,,0,1,1,7,,,,,2.6370482499478385,,2.629460791940801,2.6370482499478385,2.6370482499478385,4.259054374997504,1.2177777777777778,1.605183375068009,,,,,,,,,,,,,,,p1,001,2025-10-13_12h38.52.420,Word priming experiment,,2025.1.1,119.53381717938824,2025-10-13 12h38.59.135985 +0530,
Poster ,2,2,0,1.2177777777777778,1.0391222909092903,,,,,,,,,,,,0,2,2,14,,,,,4.275338583975099,,4.2623485419899225,4.275338583975099,4.275338583975099,5.325763791915961,1.2177777777777778,1.0391222909092903,,,,,,,,,,,,,,,p1,001,2025-10-13_12h38.52.420,Word priming experiment,,2025.1.1,119.53381717938824,2025-10-13 12h38.59.135985 +0530,
mouse ,3,3,0,1.2177777777777778,0.42307100002653897,,,,,,,,,,,,0,3,3,8,,,,,5.3421431669266894,,5.327808124944568,5.3421431669266894,5.3421431669266894,5.758492541965097,1.2177777777777778,0.42307100002653897,,,,,,,,,,,,,,,p1,001,2025-10-13_12h38.52.420,Word priming experiment,,2025.1.1,119.53381717938824,2025-10-13 12h38.59.135985 +0530,
Case ,4,4,0,1.2177777777777778,0.3561909591080621,,,,,,,,,,,,0,4,4,10,,,,,5.768806166946888,,5.761376041918993,5.768806166946888,5.768806166946888,6.125009374925867,1.2177777777777778,0.3561909591080621,,,,,,,,,,,,,,,p1,001,2025-10-13_12h38.52.420,Word priming experiment,,2025.1.1,119.53381717938824,2025-10-13 12h38.59.135985 +0530,
Keys ,5,5,0,1.2177777777777778,1.6563312920043245,,,,,,,,,,,,0,5,5,13,,,,,6.136046041967347,,6.128196791978553,6.136046041967347,6.136046041967347,7.7922972498927265,1.2177777777777778,1.6563312920043245,,,,,,,,,,,,,,,p1,001,2025-10-13_12h38.52.420,Word priming experiment,,2025.1.1,119.53381717938824,2025-10-13 12h38.59.135985 +0530,
Pastry ,6,6,0,1.2177777777777778,1.00793437496759,,,,,,,,,,,,0,6,6,9,,,,,7.801942166988738,,7.794251583982259,7.801942166988738,7.801942166988738,8.809687583940104,1.2177777777777778,1.00793437496759,,,,,,,,,,,,,,,p1,001,2025-10-13_12h38.52.420,Word priming experiment,,2025.1.1,119.53381717938824,2025-10-13 12h38.59.135985 +0530,
Police ,7,7,0,1.2177777777777778,0.40530395798850805,,,,,,,,,,,,0,7,7,12,,,,,8.8195453339722,,8.811859166948125,8.8195453339722,8.8195453339722,9.226370499935001,1.2177777777777778,0.40530395798850805,,,,,,,,,,,,,,,p1,001,2025-10-13_12h38.52.420,Word priming experiment,,2025.1.1,119.53381717938824,2025-10-13 12h38.59.135985 +0530,
chart ,8,8,0,1.2177777777777778,0.3725747079588473,,,,,,,,,,,,0,8,8,6,,,,,9.235491958912462,,9.228073333972134,9.235491958912462,9.235491958912462,9.608257541898638,1.2177777777777778,0.3725747079588473,,,,,,,,,,,,,,,p1,001,2025-10-13_12h38.52.420,Word priming experiment,,2025.1.1,119.53381717938824,2025-10-13 12h38.59.135985 +0530,
laptop,9,9,0,1.2177777777777778,1.9403118750778958,,,,,,,,,,,,0,9,9,5,,,,,9.618727333960123,,9.611031374894083,9.618727333960123,9.618727333960123,11.559005916933529,1.2177777777777778,1.9403118750778958,,,,,,,,,,,,,,,p1,001,2025-10-13_12h38.52.420,Word priming experiment,,2025.1.1,119.53381717938824,2025-10-13 12h38.59.135985 +0530,
