prime_type,prime,target_full,target_fragment,SOA,correct_response,delay,thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,textbox.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,mouse.started,prime_text.started,submit_text.started,textbox.started,polygon.stopped,fragment_text.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,trials.textbox.text,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
unrelated ,movie,file,f__e,0.1,file,0.6,0,0,0,"[np.float64(0.057777777777777775), np.float64(0.057777777777777775), np.float64(-0.12)]","[np.float64(0.022222222222222223), np.float64(0.022222222222222223), np.float64(-0.40555555555555556)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[8.066716334084049, 8.700121083995327, 10.324748167069629]","[None, None, 'submit_text']",fare,0,0,0,69,0.03626695810817182,,0.02556704101152718,0.03626695810817182,0.02557712490670383,0.5130748329684138,0.5130748329684138,0.5130748329684138,0.5340764161664993,0.5936771249398589,10.350506666116416,"[np.float64(0.057777777777777775), np.float64(0.057777777777777775), np.float64(-0.12)]","[np.float64(0.022222222222222223), np.float64(0.022222222222222223), np.float64(-0.40555555555555556)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[8.066716334084049, 8.700121083995327, 10.324748167069629]","[None, None, 'submit_text']",fare,p1,001,2025-11-14_10h49.43.539,untitled,,2025.1.1,119.97468472975699,2025-11-14 10h49.50.254732 +0530,
related ,dessert,sweet,s___t,0.4,sweet,0.9,1,1,0,[np.float64(-0.12)],[np.float64(-0.40555555555555556)],[1],[0],[0],[11.281972416909412],['submit_text'],short,0,1,1,39,10.361595707945526,,10.355951457982883,10.361595707945526,0.005153290927410126,10.856450375169516,10.856450375169516,10.856450375169516,10.868900875095278,11.24898837506771,21.638172041159123,[np.float64(-0.12)],[np.float64(-0.40555555555555556)],[1],[0],[0],[11.281972416909412],['submit_text'],short,p1,001,2025-11-14_10h49.43.539,untitled,,2025.1.1,119.97468472975699,2025-11-14 10h49.50.254732 +0530,
related ,night,moon,m__n,0.1,moon,0.6,2,2,0,[np.float64(-0.12)],[np.float64(-0.40555555555555556)],[1],[0],[0],[2.959477874916047],['submit_text'],moon,0,2,2,54,21.651110416045412,,21.645300208125263,21.651110416045412,0.006953666917979717,22.14092629100196,22.14092629100196,22.14092629100196,22.153005165979266,22.23496525012888,24.605040583061054,[np.float64(-0.12)],[np.float64(-0.40555555555555556)],[1],[0],[0],[2.959477874916047],['submit_text'],moon,p1,001,2025-11-14_10h49.43.539,untitled,,2025.1.1,119.97468472975699,2025-11-14 10h49.50.254732 +0530,
unrelated ,physics,germs,g_r_s,0.1,germs,0.6,3,3,0,[np.float64(-0.12)],[np.float64(-0.40555555555555556)],[1],[0],[0],[62.839186124969274],['submit_text'],gores,0,3,3,79,24.618194125127047,,24.61215625004843,24.618194125127047,0.006983125116676092,25.108227333053946,25.108227333053946,25.108227333053946,25.120079500135034,25.20858075004071,87.45158600015566,[np.float64(-0.12)],[np.float64(-0.40555555555555556)],[1],[0],[0],[62.839186124969274],['submit_text'],gores,p1,001,2025-11-14_10h49.43.539,untitled,,2025.1.1,119.97468472975699,2025-11-14 10h49.50.254732 +0530,
related ,farmer,crop,c__p,0.1,crop,0.6,4,4,0,[np.float64(-0.12)],[np.float64(-0.40555555555555556)],[1],[0],[0],[9.662185957888141],['submit_text'],crop,0,4,4,14,87.46308625000529,,87.45684370794334,87.46308625000529,0.0051020001992583275,87.94945712503977,87.94945712503977,87.94945712503977,87.96227629110217,88.05123887513764,97.11923929094337,[np.float64(-0.12)],[np.float64(-0.40555555555555556)],[1],[0],[0],[9.662185957888141],['submit_text'],crop,p1,001,2025-11-14_10h49.43.539,untitled,,2025.1.1,119.97468472975699,2025-11-14 10h49.50.254732 +0530,
related ,knife,chop,c__p,0.1,chop,0.6,5,5,0,[np.float64(-0.12)],[np.float64(-0.40555555555555556)],[1],[0],[0],[3.3399156250525266],['submit_text'],crop,0,5,5,58,97.14347858307883,,97.12128125014715,97.14347858307883,0.0018970840610563755,97.62760004098527,97.62760004098527,97.62760004098527,97.6400792079512,97.720100708073,100.46139837498777,[np.float64(-0.12)],[np.float64(-0.40555555555555556)],[1],[0],[0],[3.3399156250525266],['submit_text'],crop,p1,001,2025-11-14_10h49.43.539,untitled,,2025.1.1,119.97468472975699,2025-11-14 10h49.50.254732 +0530,
related ,date,day,d_y,0.1,day,0.6,6,6,0,[np.float64(-0.12)],[np.float64(-0.40555555555555556)],[1],[0],[0],[2.3535016670357436],['submit_text'],diy,0,6,6,56,100.4712980829645,,100.46541525004432,100.4712980829645,0.003886000020429492,100.96593262511306,100.96593262511306,100.96593262511306,100.99354720814154,101.06530829099938,102.8191707499791,[np.float64(-0.12)],[np.float64(-0.40555555555555556)],[1],[0],[0],[2.3535016670357436],['submit_text'],diy,p1,001,2025-11-14_10h49.43.539,untitled,,2025.1.1,119.97468472975699,2025-11-14 10h49.50.254732 +0530,
related ,journey,travel,t_a__l,0.1,travel,0.6,7,7,0,[np.float64(-0.12333333333333334)],[np.float64(-0.4211111111111111)],[1],[0],[0],[13.298205417115241],['submit_text'],travel,0,7,7,52,102.82926020794548,,102.82357820798643,102.82926020794548,0.004291374934837222,103.32784925005399,103.32784925005399,103.32784925005399,103.34036241611466,103.41577483294532,116.12201579101384,[np.float64(-0.12333333333333334)],[np.float64(-0.4211111111111111)],[1],[0],[0],[13.298205417115241],['submit_text'],travel,p1,001,2025-11-14_10h49.43.539,untitled,,2025.1.1,119.97468472975699,2025-11-14 10h49.50.254732 +0530,
related ,track,race,r_c_,0.1,race,0.6,8,8,0,[np.float64(-0.12333333333333334)],[np.float64(-0.4211111111111111)],[1],[0],[0],[5.326457416871563],['submit_text'],rock,0,8,8,34,116.13122066599317,,116.12610595813021,116.13122066599317,0.003953666891902685,116.62765458296053,116.62765458296053,116.62765458296053,116.6403625831008,116.7206332909409,121.45278900000267,[np.float64(-0.12333333333333334)],[np.float64(-0.4211111111111111)],[1],[0],[0],[5.326457416871563],['submit_text'],rock,p1,001,2025-11-14_10h49.43.539,untitled,,2025.1.1,119.97468472975699,2025-11-14 10h49.50.254732 +0530,
related ,fan,light,l_g_t,0.4,light,0.9,9,9,0,[np.float64(-0.12333333333333334)],[np.float64(-0.4211111111111111)],[1],[0],[0],[3.0392497500870377],['submit_text'],legit,0,9,9,45,121.4616122499574,,121.45591749995947,121.4616122499574,0.0030050831846892834,121.95904091605917,121.95904091605917,121.95904091605917,121.95904091605917,122.35205362504348,124.49538183305413,[np.float64(-0.12333333333333334)],[np.float64(-0.4211111111111111)],[1],[0],[0],[3.0392497500870377],['submit_text'],legit,p1,001,2025-11-14_10h49.43.539,untitled,,2025.1.1,119.97468472975699,2025-11-14 10h49.50.254732 +0530,
