reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
15,35,13,0,0,0,l,1.6045074169524014,None,0,0,0,1,0.10234466707333922,,0.09044383303262293,0.10234466707333922,0.9985920001054183,0.9985920001054183,1.0999452500836924,2.9465528330765665,l,1.6045074169524014,None,p4,001,2025-10-31_20h17.25.125,Delay Discounting Experiment ,,2025.1.1,None,2025-10-31 20h17.36.704867 +0530,
67,75,119,1,1,0,t,0.9691477499436587,None,0,1,1,5,2.9719342500902712,,2.9499182080617175,2.9719342500902712,3.9417741670040414,3.9417741670040414,3.9839974580099806,4.917937625083141,t,0.9691477499436587,None,p4,001,2025-10-31_20h17.25.125,Delay Discounting Experiment ,,2025.1.1,None,2025-10-31 20h17.36.704867 +0530,
40,55,62,2,2,0,t,0.5548155419528484,None,0,2,2,3,4.935835708049126,,4.927549208048731,4.935835708049126,5.917058917111717,5.917058917111717,5.933037583017722,6.474784458056092,t,0.5548155419528484,None,p4,001,2025-10-31_20h17.25.125,Delay Discounting Experiment ,,2025.1.1,None,2025-10-31 20h17.36.704867 +0530,
78,80,162,3,3,0,t,0.7878554579801857,None,0,3,3,6,6.506010750075802,,6.482320583076216,6.506010750075802,7.4839893750613555,7.4839893750613555,7.499888792051934,8.275488958111964,t,0.7878554579801857,None,p4,001,2025-10-31_20h17.25.125,Delay Discounting Experiment ,,2025.1.1,None,2025-10-31 20h17.36.704867 +0530,
11,30,7,4,4,0,l,1.7171436250209808,None,0,4,4,0,8.292150833061896,,8.283160458086058,8.292150833061896,9.27460708306171,9.27460708306171,9.283241208060645,11.001246250001714,l,1.7171436250209808,None,p4,001,2025-10-31_20h17.25.125,Delay Discounting Experiment ,,2025.1.1,None,2025-10-31 20h17.36.704867 +0530,
27,50,21,5,5,0,l,1.0139545000856742,None,0,5,5,2,11.016276500071399,,11.007186917006038,11.016276500071399,11.999880875111558,11.999880875111558,12.006553875049576,13.018319542054087,l,1.0139545000856742,None,p4,001,2025-10-31_20h17.25.125,Delay Discounting Experiment ,,2025.1.1,None,2025-10-31 20h17.36.704867 +0530,
88,98,195,6,6,0,t,1.1410958749474958,None,0,6,6,8,13.034110208041966,,13.025015625054948,13.034110208041966,14.016774792107753,14.016774792107753,14.023823708062991,15.168359417002648,t,1.1410958749474958,None,p4,001,2025-10-31_20h17.25.125,Delay Discounting Experiment ,,2025.1.1,None,2025-10-31 20h17.36.704867 +0530,
95,115,200,7,7,0,t,0.6490782080218196,None,0,7,7,9,15.185517375008203,,15.17662166710943,15.185517375008203,16.166877792100422,16.166877792100422,16.1856571250828,16.81804058304988,t,0.6490782080218196,None,p4,001,2025-10-31_20h17.25.125,Delay Discounting Experiment ,,2025.1.1,None,2025-10-31 20h17.36.704867 +0530,
85,95,180,8,8,0,t,0.8709579160204157,None,0,8,8,7,16.83401525008958,,16.82444887503516,16.83401525008958,17.816806707996875,17.816806707996875,17.824097708100453,18.692389792064205,t,0.8709579160204157,None,p4,001,2025-10-31_20h17.25.125,Delay Discounting Experiment ,,2025.1.1,None,2025-10-31 20h17.36.704867 +0530,
49,60,89,9,9,0,t,0.6864530830644071,None,0,9,9,4,18.70763658301439,,18.699015208054334,18.70763658301439,19.690514042042196,19.690514042042196,19.700093875057064,20.384966500103474,t,0.6864530830644071,None,p4,001,2025-10-31_20h17.25.125,Delay Discounting Experiment ,,2025.1.1,None,2025-10-31 20h17.36.704867 +0530,
