thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_dist,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(-0.2611111111111111)],[np.float64(-0.09222222222222222)],[0],[0],[0],[2.0651440829969943],['target'],0,0,0,0,0.03629370799171738,,5,0.023225082986755297,0.03629370799171738,0.03629370799171738,0.023237000015797094,2.088512374990387,[np.float64(-0.2611111111111111)],[np.float64(-0.09222222222222222)],[0],[0],[0],[2.0651440829969943],['target'],p4,001,2025-09-30_17h41.41.026,Experiment,,2025.1.1,119.75785011147751,2025-09-30 17h41.55.589986 +0530,
1,0,1,[np.float64(-0.23222222222222222)],[np.float64(-0.24444444444444444)],[1],[0],[0],[3.874973375000991],['target'],1,0,1,0,2.1312579170044046,,10,2.11744324999745,2.1312579170044046,2.1312579170044046,0.028606124978978187,5.992483874986647,[np.float64(-0.23222222222222222)],[np.float64(-0.24444444444444444)],[1],[0],[0],[3.874973375000991],['target'],p4,001,2025-09-30_17h41.41.026,Experiment,,2025.1.1,119.75785011147751,2025-09-30 17h41.55.589986 +0530,
2,0,2,[np.float64(0.04555555555555556)],[np.float64(0.47333333333333333)],[1],[0],[0],[1.8530404169869144],['target'],2,0,2,0,6.0184882920002565,,5,6.007289542001672,6.0184882920002565,6.0184882920002565,0.01459716699901037,7.860399875004077,[np.float64(0.04555555555555556)],[np.float64(0.47333333333333333)],[1],[0],[0],[1.8530404169869144],['target'],p4,001,2025-09-30_17h41.41.026,Experiment,,2025.1.1,119.75785011147751,2025-09-30 17h41.55.589986 +0530,
3,0,3,[np.float64(-0.2544444444444444)],[np.float64(0.12222222222222222)],[1],[0],[0],[1.964560332999099],['target'],3,0,3,0,7.885587083001155,,5,7.874476375000086,7.885587083001155,7.885587083001155,0.013902208011131734,9.839109374996042,[np.float64(-0.2544444444444444)],[np.float64(0.12222222222222222)],[1],[0],[0],[1.964560332999099],['target'],p4,001,2025-09-30_17h41.41.026,Experiment,,2025.1.1,119.75785011147751,2025-09-30 17h41.55.589986 +0530,
4,0,4,[np.float64(0.43666666666666665)],[np.float64(-0.13444444444444445)],[1],[0],[0],[2.697649417008506],['target'],4,0,4,0,9.879563374997815,,10,9.865630207990762,9.879563374997815,9.879563374997815,0.026343916018959135,12.563379041996086,[np.float64(0.43666666666666665)],[np.float64(-0.13444444444444445)],[1],[0],[0],[2.697649417008506],['target'],p4,001,2025-09-30_17h41.41.026,Experiment,,2025.1.1,119.75785011147751,2025-09-30 17h41.55.589986 +0530,
5,0,5,[np.float64(-0.4088888888888889)],[np.float64(-0.3)],[1],[0],[0],[2.9659962500154506],['target'],5,0,5,0,12.605040333000943,,10,12.591194874985376,12.605040333000943,12.605040333000943,0.027560290996916592,15.557270582998171,[np.float64(-0.4088888888888889)],[np.float64(-0.3)],[1],[0],[0],[2.9659962500154506],['target'],p4,001,2025-09-30_17h41.41.026,Experiment,,2025.1.1,119.75785011147751,2025-09-30 17h41.55.589986 +0530,
6,0,6,[np.float64(-0.39)],[np.float64(-0.23)],[1],[0],[0],[1.1551096250186674],['target'],6,0,6,0,15.596819541999139,,10,15.583080749987857,15.596819541999139,15.596819541999139,0.025579874985851347,16.738252042006934,[np.float64(-0.39)],[np.float64(-0.23)],[1],[0],[0],[1.1551096250186674],['target'],p4,001,2025-09-30_17h41.41.026,Experiment,,2025.1.1,119.75785011147751,2025-09-30 17h41.55.589986 +0530,
7,0,7,[np.float64(0.47333333333333333)],[np.float64(0.25222222222222224)],[1],[0],[0],[2.9928259170264937],['target'],7,0,7,0,16.757842499995604,,5,16.748916416981956,16.757842499995604,16.757842499995604,0.01050299999769777,19.741833707987098,[np.float64(0.47333333333333333)],[np.float64(0.25222222222222224)],[1],[0],[0],[2.9928259170264937],['target'],p4,001,2025-09-30_17h41.41.026,Experiment,,2025.1.1,119.75785011147751,2025-09-30 17h41.55.589986 +0530,
8,0,8,[np.float64(-0.08777777777777777)],[np.float64(0.0044444444444444444)],[1],[0],[0],[1.9971183330053464],['target'],8,0,8,0,19.77124483298394,,5,19.759178082982544,19.77124483298394,19.77124483298394,0.017135042027803138,21.756377249985235,[np.float64(-0.08777777777777777)],[np.float64(0.0044444444444444444)],[1],[0],[0],[1.9971183330053464],['target'],p4,001,2025-09-30_17h41.41.026,Experiment,,2025.1.1,119.75785011147751,2025-09-30 17h41.55.589986 +0530,
9,0,9,[np.float64(-0.23222222222222222)],[np.float64(-0.18888888888888888)],[1],[0],[0],[1.567508917010855],['target'],9,0,9,0,21.783475332980743,,5,21.77189620799618,21.783475332980743,21.783475332980743,0.015304166008718312,23.339487124991138,[np.float64(-0.23222222222222222)],[np.float64(-0.18888888888888888)],[1],[0],[0],[1.567508917010855],['target'],p4,001,2025-09-30_17h41.41.026,Experiment,,2025.1.1,119.75785011147751,2025-09-30 17h41.55.589986 +0530,
