study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,StudyText.stopped,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
T-shirt ,0,0,0,1.28,2.7026296668918803,,,,,,,,,,,,0,0,0,7,,,,,0.08083333307877183,,0.05912600003648549,0.08083333307877183,0.08083333307877183,2.7737025000387803,1.28,2.7026296668918803,,,,,,,,,,,,,,,,p4,001,2025-10-16_01h28.02.025,Word priming experiment,,2025.1.1,120.07150176787692,2025-10-16 01h28.09.871163 +0530,
chart ,1,1,0,1.28,0.9391087919939309,,,,,,,,,,,,0,1,1,6,,,,,2.7842561670113355,,2.7765544169815257,2.7842561670113355,2.7842561670113355,3.723410499980673,1.28,0.9391087919939309,,,,,,,,,,,,,,,,p4,001,2025-10-16_01h28.02.025,Word priming experiment,,2025.1.1,120.07150176787692,2025-10-16 01h28.09.871163 +0530,
board ,2,2,0,1.28,0.8396428750129417,,,,,,,,,,,,0,2,2,4,,,,,3.7337445419980213,,3.726161167025566,3.7337445419980213,3.7337445419980213,4.59020016703289,1.28,0.8396428750129417,,,,,,,,,,,,,,,,p4,001,2025-10-16_01h28.02.025,Word priming experiment,,2025.1.1,120.07150176787692,2025-10-16 01h28.09.871163 +0530,
phone ,3,3,0,1.28,1.4098625830374658,,,,,,,,,,,,0,3,3,2,,,,,4.606684333062731,,4.593599083018489,4.606684333062731,4.606684333062731,6.012428708025254,1.28,1.4098625830374658,,,,,,,,,,,,,,,,p4,001,2025-10-16_01h28.02.025,Word priming experiment,,2025.1.1,120.07150176787692,2025-10-16 01h28.09.871163 +0530,
marble ,4,4,0,1.28,9.306309333071113,,,,,,,,,,,,0,4,4,3,,,,,6.023956250050105,,6.015183708048426,6.023956250050105,6.023956250050105,15.330866542062722,1.28,9.306309333071113,14.040451667038724,,,,,,,,,,,,,,,p4,001,2025-10-16_01h28.02.025,Word priming experiment,,2025.1.1,120.07150176787692,2025-10-16 01h28.09.871163 +0530,
mouse ,5,5,0,1.28,3.111256832955405,,,,,,,,,,,,0,5,5,8,,,,,15.343626499990933,,15.334647541982122,15.343626499990933,15.343626499990933,18.456767791998573,1.28,3.111256832955405,,,,,,,,,,,,,,,,p4,001,2025-10-16_01h28.02.025,Word priming experiment,,2025.1.1,120.07150176787692,2025-10-16 01h28.09.871163 +0530,
Pastry ,6,6,0,1.28,4.9684901249129325,,,,,,,,,,,,0,6,6,9,,,,,18.46920599997975,,18.46063937502913,18.46920599997975,18.46920599997975,23.440741416998208,1.28,4.9684901249129325,,,,,,,,,,,,,,,,p4,001,2025-10-16_01h28.02.025,Word priming experiment,,2025.1.1,120.07150176787692,2025-10-16 01h28.09.871163 +0530,
Poster ,7,7,0,1.28,9.027388541959226,,,,,,,,,,,,0,7,7,14,,,,,23.452128750039265,,23.44321908301208,23.452128750039265,23.452128750039265,32.47990050003864,1.28,9.027388541959226,31.457805791986175,,,,,,,,,,,,,,,p4,001,2025-10-16_01h28.02.025,Word priming experiment,,2025.1.1,120.07150176787692,2025-10-16 01h28.09.871163 +0530,
Case ,8,8,0,1.28,0.9968324579531327,,,,,,,,,,,,0,8,8,10,,,,,32.507313832989894,,32.48251004202757,32.507313832989894,32.507313832989894,33.490921917022206,1.28,0.9968324579531327,,,,,,,,,,,,,,,,p4,001,2025-10-16_01h28.02.025,Word priming experiment,,2025.1.1,120.07150176787692,2025-10-16 01h28.09.871163 +0530,
cushion ,9,9,0,1.28,0.5740996249951422,,,,,,,,,,,,0,9,9,1,,,,,33.50152662501205,,33.49339079204947,33.50152662501205,33.50152662501205,34.09112320805434,1.28,0.5740996249951422,,,,,,,,,,,,,,,,p4,001,2025-10-16_01h28.02.025,Word priming experiment,,2025.1.1,120.07150176787692,2025-10-16 01h28.09.871163 +0530,
