pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,1.1688394579978194,None,0,0,0,0,,,,,0.04842883298988454,,0.03707695798948407,0.04842883298988454,1.006591125013074,1.006591125013074,1.006591125013074,1.006591125013074,1.0387478749908041,1.9932922500011045,1.9932922500011045,3.3937395829998422,x,1,1.1688394579978194,None,,,,,p3,001,2025-09-30_16h59.30.748,untitled,,2025.1.1,None,2025-09-30 17h00.00.269397 +0530,
150,v,1,1,0,v,1,0.7170573339972179,None,0,1,1,1,,,,,3.4125227500044275,,3.3939522500149906,3.4125227500044275,4.390913665993139,4.390913665993139,4.390913665993139,4.390913665993139,4.407279833016219,5.3901382079930045,5.3901382079930045,6.117738166009076,v,1,0.7170573339972179,None,,,,,p3,001,2025-09-30_16h59.30.748,untitled,,2025.1.1,None,2025-09-30 17h00.00.269397 +0530,
50,c,2,2,0,c,1,0.5226434159849305,None,0,2,2,2,,,,,6.127037583006313,,6.118293583014747,6.127037583006313,7.11647737500607,7.11647737500607,7.11647737500607,7.11647737500607,7.123971666005673,8.116349666001042,8.116349666001042,8.64139708300354,c,1,0.5226434159849305,None,,,,,p3,001,2025-09-30_16h59.30.748,untitled,,2025.1.1,None,2025-09-30 17h00.00.269397 +0530,
-150,z,3,3,0,z,1,0.43929620800190605,None,0,3,3,3,,,,,8.649739749991568,,8.64193441599491,8.649739749991568,9.633258207992185,9.633258207992185,9.633258207992185,9.633258207992185,9.641124124987982,10.650731000001542,10.650731000001542,11.102365208003903,z,1,0.43929620800190605,None,,,,,p3,001,2025-09-30_16h59.30.748,untitled,,2025.1.1,None,2025-09-30 17h00.00.269397 +0530,
-50,x,4,0,1,x,1,0.2855008339975029,None,1,0,4,0,,,,,11.112913582997862,,11.103079332999187,11.112913582997862,12.100591583002824,12.100591583002824,12.100591583002824,12.100591583002824,12.107527624990325,13.099743583006784,13.099743583006784,13.391359125002054,x,1,0.2855008339975029,None,,,,,p3,001,2025-09-30_16h59.30.748,untitled,,2025.1.1,None,2025-09-30 17h00.00.269397 +0530,
150,v,5,1,1,v,1,0.27866154100047424,None,1,1,5,1,,,,,13.416834375006147,,13.391893749998417,13.416834375006147,14.390849332994549,14.390849332994549,14.390849332994549,14.390849332994549,14.407385750004323,15.382530915987445,15.382530915987445,15.667899541003862,v,1,0.27866154100047424,None,,,,,p3,001,2025-09-30_16h59.30.748,untitled,,2025.1.1,None,2025-09-30 17h00.00.269397 +0530,
50,c,6,2,1,c,1,0.26677691598888487,None,1,2,6,2,,,,,15.677417750004679,,15.668437624990474,15.677417750004679,16.667709166009445,16.667709166009445,16.667709166009445,16.667709166009445,16.6753940829949,17.66649079101626,17.66649079101626,17.935781250009313,c,1,0.26677691598888487,None,,,,,p3,001,2025-09-30_16h59.30.748,untitled,,2025.1.1,None,2025-09-30 17h00.00.269397 +0530,
-150,z,7,3,1,z,1,0.07002691700472496,None,1,3,7,3,,,,,17.94700158300111,,17.936444749997463,17.94700158300111,18.9338794159994,18.9338794159994,18.9338794159994,18.9338794159994,18.940460207988508,19.9332232910092,19.9332232910092,20.008237791014835,z,1,0.07002691700472496,None,,,,,p3,001,2025-09-30_16h59.30.748,untitled,,2025.1.1,None,2025-09-30 17h00.00.269397 +0530,
-50,x,8,0,2,x,1,0.16027633400517516,None,2,0,8,0,,,,,20.033571665990166,,20.00866954101366,20.033571665990166,21.017755166016286,21.017755166016286,21.017755166016286,21.017755166016286,21.025298666005256,21.99997912501567,21.99997912501567,22.185945083008846,x,1,0.16027633400517516,None,,,,,p3,001,2025-09-30_16h59.30.748,untitled,,2025.1.1,None,2025-09-30 17h00.00.269397 +0530,
150,v,9,1,2,v,1,0.17095879101543687,None,2,1,9,1,,,,,22.20013199999812,,22.186749040993163,22.20013199999812,23.183575625007506,23.183575625007506,23.183575625007506,23.183575625007506,23.190821166004753,24.201198875001865,24.201198875001865,24.374974790989654,v,1,0.17095879101543687,None,,,,,p3,001,2025-09-30_16h59.30.748,untitled,,2025.1.1,None,2025-09-30 17h00.00.269397 +0530,
50,c,10,2,2,c,1,0.17763099999865517,None,2,2,10,2,,,,,24.40029420799692,,24.375513915991178,24.40029420799692,25.37450141599402,25.37450141599402,25.37450141599402,25.37450141599402,25.389925625000615,26.37389954100945,26.37389954100945,26.557926707988372,c,1,0.17763099999865517,None,,,,,p3,001,2025-09-30_16h59.30.748,untitled,,2025.1.1,None,2025-09-30 17h00.00.269397 +0530,
-150,z,11,3,2,z,1,0.030456459004199132,None,2,3,11,3,,,,,26.566466624994064,,26.558371582999825,26.566466624994064,27.567338416003622,27.567338416003622,27.567338416003622,27.567338416003622,27.58442324999487,28.567716249992372,28.567716249992372,28.61892841599183,z,1,0.030456459004199132,None,,,,,p3,001,2025-09-30_16h59.30.748,untitled,,2025.1.1,None,2025-09-30 17h00.00.269397 +0530,
-50,x,12,0,3,x,1,0.16527370901894756,None,3,0,12,0,,,,,28.633664041000884,,28.619591166003374,28.633664041000884,29.61740462499438,29.61740462499438,29.61740462499438,29.61740462499438,29.624439083010657,30.61706270801369,30.61706270801369,30.785061958013102,x,1,0.16527370901894756,None,,,,,p3,001,2025-09-30_16h59.30.748,untitled,,2025.1.1,None,2025-09-30 17h00.00.269397 +0530,
150,v,13,1,3,v,1,0.12587345798965544,None,3,1,13,1,,,,,30.793840124999406,,30.785625457996503,30.793840124999406,31.78414520798833,31.78414520798833,31.78414520798833,31.78414520798833,31.79063324999879,32.80042908299947,32.80042908299947,32.938677666010335,v,1,0.12587345798965544,None,,,,,p3,001,2025-09-30_16h59.30.748,untitled,,2025.1.1,None,2025-09-30 17h00.00.269397 +0530,
50,c,14,2,3,c,1,0.1227209169883281,None,3,2,14,2,,,,,32.94548079100787,,32.93899987501209,32.94548079100787,33.934338666003896,33.934338666003896,33.934338666003896,33.934338666003896,33.94095145800384,34.933555791008985,34.933555791008985,35.05836291599553,c,1,0.1227209169883281,None,,,,,p3,001,2025-09-30_16h59.30.748,untitled,,2025.1.1,None,2025-09-30 17h00.00.269397 +0530,
-150,z,15,3,3,z,1,0.05155637499410659,None,3,3,15,3,,,,,35.06696991599165,,35.05891600000905,35.06696991599165,36.05052670801524,36.05052670801524,36.05052670801524,36.05052670801524,36.05766879100702,37.05062100000214,37.05062100000214,37.110105041007046,z,1,0.05155637499410659,None,,,,,p3,001,2025-09-30_16h59.30.748,untitled,,2025.1.1,None,2025-09-30 17h00.00.269397 +0530,
-50,x,16,0,4,x,1,0.14181799997459166,None,4,0,16,0,,,,,37.11991329101147,,37.1107017910108,37.11991329101147,38.1084966250055,38.1084966250055,38.1084966250055,38.1084966250055,38.11709033299121,39.10747595800785,39.10747595800785,39.25191483300296,x,1,0.14181799997459166,None,,,,,p3,001,2025-09-30_16h59.30.748,untitled,,2025.1.1,None,2025-09-30 17h00.00.269397 +0530,
150,v,17,1,4,v,1,0.0956657909846399,None,4,1,17,1,,,,,39.26124487500056,,39.25246629101457,39.26124487500056,40.25085362500977,40.25085362500977,40.25085362500977,40.25085362500977,40.26215104100993,41.2507526660047,41.2507526660047,41.351830958010396,v,1,0.0956657909846399,None,,,,,p3,001,2025-09-30_16h59.30.748,untitled,,2025.1.1,None,2025-09-30 17h00.00.269397 +0530,
