staircase.thisTrialN,staircase.stepSize,staircase.intensity,thisRow.t,notes,trial.started,Fixation.started,Fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,2,10.0,0.016864916997292312,,0.01312270799826365,0.016864916997292312,0.5824244579998776,0.5824244579998776,0.5824244579998776,0.876388249998854,15.61330929199903,right,10.0,1,1,14.8087993750014,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
1,1,8.0,15.637392958000419,,15.613422832997458,15.637392958000419,16.11010187499778,16.11010187499778,16.11010187499778,16.399258999997983,22.513932582998677,left,-8.0,0,0,6.394921999999497,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
2,1,9.0,22.530831000000035,,22.514112958000624,22.530831000000035,23.010150207999686,23.010150207999686,23.010150207999686,23.29943254200043,23.930426999999327,left,-9.0,1,1,0.9089987090010254,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
3,1,9.0,23.936651500000153,,23.93060004200015,23.936651500000153,24.426744999997027,24.426744999997027,24.426744999997027,24.71657929199864,25.102630666999175,left,-9.0,1,1,0.66938300000038,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
4,1,9.0,25.109632624997175,,25.102804166999704,25.109632624997175,25.600450541998725,25.600450541998725,25.600450541998725,25.893644707997737,26.030557207999664,left,-9.0,1,1,0.42865654100023676,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
5,1,8.0,26.03461816699928,,26.03073420799774,26.03461816699928,26.526701624999987,26.526701624999987,26.526701624999987,26.816149499998573,27.330503166998824,right,8.0,1,1,0.7975181250003516,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
6,1,8.0,27.33638254199832,,27.33067491700058,27.33638254199832,27.826831791997392,27.826831791997392,27.826831791997392,28.116313499998796,28.363920416999463,left,-8.0,1,1,0.5252026659982221,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
7,1,8.0,28.369842957999936,,28.364084749999165,28.369842957999936,28.86036816699925,28.86036816699925,28.86036816699925,29.149406707998423,29.43684920799933,left,-8.0,1,1,0.5738112920007552,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
8,1,7.0,29.443159999998898,,29.437018999997235,29.443159999998898,29.933457957999053,29.933457957999053,29.933457957999053,30.227138291997107,30.419630082997173,left,-7.0,1,1,0.4806996250008524,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
9,1,7.0,30.42640679199758,,30.419794624998758,30.42640679199758,30.917399791997013,30.917399791997013,30.917399791997013,31.21018991699748,31.303331916999014,left,-7.0,1,1,0.380752165998274,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
