thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,key_resp.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,down,1,6.2600064990110695,None,2,0,0,0,0,0.017239540989976376,,0.009363999997731298,0.017239540989976376,1.010914040991338,1.0159673749876674,7.504393165989313,down,1,6.2600064990110695,None,2,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
1,0,1,up,1,0.7608758750138804,None,0,1,0,1,0,7.576123999984702,,7.5045461659901775,7.576123999984702,8.497743665997405,8.569648750009947,9.26656079100212,up,1,0.7608758750138804,None,0,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
2,0,2,up,1,0.5712211659993045,None,0,2,0,2,0,9.279810499981977,,9.267187874997035,9.279810499981977,10.264330957987113,10.27027066599112,10.838124000001699,up,1,0.5712211659993045,None,0,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
3,0,3,up,1,0.5198776659963187,None,0,3,0,3,0,10.847536374989431,,10.838605041004485,10.847536374989431,11.837738041009288,11.837738041009288,12.366411124996375,up,1,0.5198776659963187,None,0,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
4,0,4,down,1,0.8813862910028547,None,4,4,0,4,0,12.375336416007485,,12.366900416003773,12.375336416007485,13.364387665991671,13.36978487498709,14.249902332987403,down,1,0.8813862910028547,None,4,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
5,0,5,down,1,0.48673908301861957,None,3,5,0,5,0,14.259600457997294,,14.250555040984182,14.259600457997294,15.247825333004585,15.254248624987667,15.738260290992912,down,1,0.48673908301861957,None,3,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
6,0,6,down,0,0.4947341659863014,None,0,6,0,6,0,15.747536957991542,,15.738792957999976,15.747536957991542,16.738928415987175,16.738928415987175,17.239813457999844,down,0,0.4947341659863014,None,0,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
7,0,7,down,1,0.4874670410063118,None,4,7,0,7,0,17.249977665982442,,17.24047716599307,17.249977665982442,18.238271332986187,18.247745458007557,18.73353841601056,down,1,0.4874670410063118,None,4,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
8,0,8,down,1,0.6104989159794059,None,1,8,0,8,0,18.743439124984434,,18.734210458002053,18.743439124984434,19.731158332986524,19.737074415985262,20.350101707997965,down,1,0.6104989159794059,None,1,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
9,0,9,down,1,0.7027891660109162,None,1,9,0,9,0,20.360039457998937,,20.35077900000033,20.360039457998937,21.34785816600197,21.353286833007587,22.055272875004448,down,1,0.7027891660109162,None,1,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
